STRUCTURE_NUMBER_008,LOCATION_009,lat,lon,"coordinates (lat, lon)",YEAR_BUILT_027,FUNCTIONAL_CLASS_026,ADT_029,PERCENT_ADT_TRUCK_109,MIN_VERT_CLR_010,VC_ft,d_vc,N_detour,p_height,V_elem_height,Risk_Index,Risk_Level,Risk_Explanation,Street_View_URL
171450114703096,'4.65 MI SE OF SH 75',31.133766666666700,-95.90556111111110,"31.133767, -95.905561",2014,8,498,10.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.133767,-95.905561"
171450114802002,'1.45 MI S OF FM 1469',31.32700277777780,-96.27092222222220,"31.327003, -96.270922",1979,8,282,8.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.327003,-96.270922"
171450122301012,'0.85 MI S OF FM 811',31.16383611111110,-95.8681,"31.163836, -95.868100",1966,7,702,9.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.163836,-95.868100"
171450122301013,'1.6 MI S OF FM 811',31.153630555555600,-95.87111666666670,"31.153631, -95.871117",1966,7,403,9.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.153631,-95.871117"
171450114501025,'2.15 MI S OF FM 831',31.396722222222200,-95.89105833333330,"31.396722, -95.891058",2021,8,270,0.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.396722,-95.891058"
171450067503139,'1.35 MI N OF US 79',31.46827777777780,-96.08710833333330,"31.468278, -96.087108",1969,1,16353,38.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.468278,-96.087108"
171450067503140,'0.2 MI N OF US 79',31.454069444444400,-96.07762777777780,"31.454069, -96.077628",1969,7,266,12.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.454069,-96.077628"
171450067503141,'0.2 MI N OF US 79',31.45338333333330,-96.07820277777780,"31.453383, -96.078203",1969,1,36262,32.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.453383,-96.078203"
171450067503143,'0.95 MI W OF SH 75',31.45114722222220,-96.07605,"31.451147, -96.076050",1969,1,17865,38.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.451147,-96.076050"
171450067503144,'0.95 MI W OF SH 75',31.450969444444400,-96.076175,"31.450969, -96.076175",1969,1,17133,38.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.450969,-96.076175"
171450067503146,'1.65 MI S OF US 79',31.43143055555560,-96.05957777777780,"31.431431, -96.059578",1969,7,2707,5.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.431431,-96.059578"
171450067503147,'1.65 MI S OF US 79',31.431886111111100,-96.05883888888890,"31.431886, -96.058839",1969,1,37325,32.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.431886,-96.058839"
171450067503148,'3.35 MI S OF US 79',31.410894444444400,-96.04315277777780,"31.410894, -96.043153",1969,7,210,27.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.410894,-96.043153"
171450067503149,'3.35 MI S OF US 79',31.411644444444400,-96.04155833333330,"31.411644, -96.041558",1969,7,210,26.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.411644,-96.041558"
171450067503150,'3.35 MI S OF UF 79',31.411188888888900,-96.04212222222220,"31.411189, -96.042122",1969,1,17865,30.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.411189,-96.042122"
171450067503151,'3.35 MI S OF US 79',31.41120833333330,-96.04241388888890,"31.411208, -96.042414",1969,1,17133,30.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.411208,-96.042414"
171450067504092,'0.15 MI N OF FM 977',31.15234722222220,-95.98426944444440,"31.152347, -95.984269",1965,7,430,27.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.152347,-95.984269"
171450067504093,'0.15 MI N OF FM 977',31.15218611111110,-95.98365555555560,"31.152186, -95.983656",1965,1,33082,38.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.152186,-95.983656"
