STRUCTURE_NUMBER_008,LOCATION_009,lat,lon,"coordinates (lat, lon)",YEAR_BUILT_027,FUNCTIONAL_CLASS_026,ADT_029,PERCENT_ADT_TRUCK_109,MIN_VERT_CLR_010,VC_ft,d_vc,N_detour,p_height,V_elem_height,Risk_Index,Risk_Level,Risk_Explanation,Street_View_URL
90980230801001,'0.9 MI SW OF FM 221',31.5889166666667,-98.1943166666667,"31.588917, -98.194317",1958,8,68,32.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.588917,-98.194317"
90980230801002,'1.3 MI S OF FM 221',31.5832944444444,-98.1964222222222,"31.583294, -98.196422",1958,8,68,32.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.583294,-98.196422"
90980239102004,'8.0 MI NW OF FM 218',31.753225,-98.3278444444444,"31.753225, -98.327844",1959,8,100,10.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.753225,-98.327844"
90980105404008,'5.8 MI NW OF BOSQUE CL',31.8262944444444,-97.9104055555556,"31.826294, -97.910406",1956,7,115,9.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.826294,-97.910406"
90980018303031,'5.0 MI NW OF FM 1602',31.6373333333333,-97.9604555555556,"31.637333, -97.960456",1939,6,2330,17.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.637333,-97.960456"
90980018303032,'3.5 MI NW OF FM 1602',31.6273444444444,-97.9380777777778,"31.627344, -97.938078",1939,6,2330,17.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.627344,-97.938078"
90980018303051,'0.2 MI SE OF US 281',31.70305,-98.1216138888889,"31.703050, -98.121614",1948,6,7321,12.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.703050,-98.121614"
90980018303066,'1.7 MI SE OF US 281',31.6938555555556,-98.0974444444444,"31.693856, -98.097444",1970,6,2101,17.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.693856,-98.097444"
90980018303070,'1.3 MI NW OF FM 1602',31.6194888888889,-97.9010194444444,"31.619489, -97.901019",1999,6,2330,16.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.619489,-97.901019"
90980018303071,'1.2 MI NW OF FM 1602',31.6184222222222,-97.8987472222222,"31.618422, -97.898747",1999,6,2330,16.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.618422,-97.898747"
90980025101039,'8.8 MI N OF SH 36',31.8286722222222,-98.1153,"31.828672, -98.115300",1940,2,3894,17.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.828672,-98.115300"
90980025101040,'1.9 MI N OF SH 36',31.730375,-98.1183083333333,"31.730375, -98.118308",1940,2,4940,15.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.730375,-98.118308"
90980025101041,'0.4 MI S OF SH 6',31.9772638888889,-98.0351916666667,"31.977264, -98.035192",1942,2,6992,13.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.977264,-98.035192"
90980025101042,'0.5 MI S OF SH 6',31.9755083333333,-98.0356333333333,"31.975508, -98.035633",1942,2,6992,14.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.975508,-98.035633"
90980025101043,'4.3 MI S OF SH 6',31.9293083333333,-98.067525,"31.929308, -98.067525",1942,2,3959,17.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.929308,-98.067525"
90980025101044,'4.8 MI S OF SH 6',31.9236305555556,-98.0727583333333,"31.923631, -98.072758",1942,2,3959,17.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.923631,-98.072758"
90980025101053,'7.2 MI N OF SH 36',31.8061972222222,-98.1150416666667,"31.806197, -98.115042",1958,2,4048,16.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.806197,-98.115042"
90980055006032,'2.2 MI SE OF US 281',31.9484194444444,-98.0114138888889,"31.948419, -98.011414",1993,7,736,13.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.948419,-98.011414"
90980025101055,'4.6 MI N OF SH 36',31.7686361111111,-98.1229555555556,"31.768636, -98.122956",1958,2,4048,16.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.768636,-98.122956"
90980025102045,'1.3 MI S OF SH 36',31.6861138888889,-98.1312277777778,"31.686114, -98.131228",1942,2,4238,16.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.686114,-98.131228"
90980025102046,'3.6 MI S OF SH 36',31.6547861111111,-98.1444222222223,"31.654786, -98.144422",1942,2,3874,17.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.654786,-98.144422"
90980025102047,'4.4 MI S OF SH 36',31.6436083333333,-98.1485388888889,"31.643608, -98.148539",1942,2,3874,17.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.643608,-98.148539"
90980025102048,'1.2 MI N OF FM 221',31.6087055555556,-98.1585805555556,"31.608706, -98.158581",1942,2,3583,18.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.608706,-98.158581"
