STRUCTURE_NUMBER_008,LOCATION_009,lat,lon,"coordinates (lat, lon)",YEAR_BUILT_027,bridge_hurricane_category,damage_level,max_sustained_wind_kt_nearby,max_sustained_wind_mph_nearby,V_des_hurr,V_scour_hurr,V_age_hurr,Risk_hurricane,Risk_Level,Risk_Explanation,Street_View_URL
180610019502075,'3.55 MI N OF FM 455',33.418274999999994,-97.17615833333332,"33.418275, -97.176158",1958,0,No Risk,25.0,28.7695,1.0,0.4,1.914285714285714,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.418275,-97.176158"
180610019502079,'1.55 MI N OF FM 455',33.389786111111114,-97.1765,"33.389786, -97.176500",1958,0,No Risk,25.0,28.7695,1.0,0.4,1.914285714285714,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.389786,-97.176500"
180610019502080,'1.55 MI N OF FM 455',33.38997777777778,-97.17688611111112,"33.389978, -97.176886",1958,0,No Risk,25.0,28.7695,1.0,0.4,1.914285714285714,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.389978,-97.176886"
180610019502081,'1.55 MI N OF FM 455',33.39013333333333,-97.17727222222224,"33.390133, -97.177272",1958,0,No Risk,25.0,28.7695,1.0,0.4,1.914285714285714,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.390133,-97.177272"
180610019502093,'3.55 MI N OF FM 455',33.418661111111106,-97.17533055555556,"33.418661, -97.175331",1958,0,No Risk,25.0,28.7695,1.0,0.4,1.914285714285714,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.418661,-97.175331"
180610019502094,'3.55 MI N OF FM 455',33.418413888888885,-97.17574166666668,"33.418414, -97.175742",1958,0,No Risk,25.0,28.7695,1.0,0.4,1.914285714285714,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.418414,-97.175742"
180610019502110,'6.00 MI N OF US 380',33.316813888888895,-97.180425,"33.316814, -97.180425",1951,0,No Risk,25.0,28.7695,1.0,0.4,2.1142857142857143,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.316814,-97.180425"
180610019502062,'5.00 MI N OF US 380',33.30262222222222,-97.1776777777778,"33.302622, -97.177678",1958,0,No Risk,25.0,28.7695,1.0,1.2,1.914285714285714,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.302622,-97.177678"
180610019502065,'4.70 MI N OF US 380',33.298852777777775,-97.17779722222222,"33.298853, -97.177797",1958,0,No Risk,25.0,28.7695,1.3333333333333333,0.4,1.914285714285714,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.298853,-97.177797"
180610019502066,'3.65 MI N OF US 380',33.28328611111111,-97.17809722222222,"33.283286, -97.178097",1958,0,No Risk,25.0,28.7695,1.3333333333333333,0.4,1.914285714285714,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.283286,-97.178097"
180610019503040,'2.30 MI N OF US 380',33.263691666666666,-97.17789722222224,"33.263692, -97.177897",1958,0,No Risk,25.0,28.7695,1.3333333333333333,0.4,1.914285714285714,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.263692,-97.177897"
180610019502052,'1.15 MI S OF FM 455',33.350347222222226,-97.18195,"33.350347, -97.181950",1958,0,No Risk,25.0,28.7695,1.3333333333333333,0.4,1.914285714285714,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.350347,-97.181950"
180610019502053,'2.05 MI S OF FM 455',33.337875000000004,-97.18120277777778,"33.337875, -97.181203",1958,0,No Risk,25.0,28.7695,1.3333333333333333,0.4,1.914285714285714,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.337875,-97.181203"
180610013510130,'4.00 MI E OF LP 288',33.23786111111112,-97.02965833333332,"33.237861, -97.029658",1999,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.237861,-97.029658"
180610013510131,'4.70 MI E OF LP 288',33.23303333333334,-97.00946388888887,"33.233033, -97.009464",1999,0,No Risk,25.0,28.7695,1.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.233033,-97.009464"
180610013510133,'0.55 MI E  OF US 77',33.23115,-97.12323333333332,"33.231150, -97.123233",2006,0,No Risk,25.0,28.7695,1.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.231150,-97.123233"
180610013510149,'1.60 MI E OF US 377',33.22442222222222,-96.97934722222224,"33.224422, -96.979347",2004,0,No Risk,25.0,28.7695,1.0,1.2,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.224422,-96.979347"
