STRUCTURE_NUMBER_008,LOCATION_009,lat,lon,"coordinates (lat, lon)",YEAR_BUILT_027,bridge_hurricane_category,damage_level,max_sustained_wind_kt_nearby,max_sustained_wind_mph_nearby,V_des_hurr,V_scour_hurr,V_age_hurr,Risk_hurricane,Risk_Level,Risk_Explanation,Street_View_URL
201240036802018,'1.9 MI NE OF SH 73',29.84321111111111,-94.33088888888888,"29.843211, -94.330889",1937,3,High,100.0,115.078,1.0,1.2,2.5142857142857142,0.6979777112225567,Top 20,"This bridge, built in 1937, has a Category 3 wind exposure of 115.1 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.698, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.843211,-94.330889"
201240AA0275002,'1.4 MI S OF SH 124',30.00230833333333,-94.15509444444444,"30.002308, -94.155094",1970,3,High,100.0,115.078,2.0,1.2,1.5714285714285714,0.6830172100156622,Top 20,"This bridge, built in 1970, has a Category 3 wind exposure of 115.1 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.683, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.002308,-94.155094"
161960018002018,'3.8 MI N OF FM 774',28.376775,-96.91455555555557,"28.376775, -96.914556",1930,4,Very High,115.0,132.3397,1.0,1.2,2.7142857142857144,0.6811832388412338,Top 20,"This bridge, built in 1930, has a Category 4 wind exposure of 132.3 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a Very High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.681, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.376775,-96.914556"
200360036701015,'1.1 MI N OF FM 1941',29.730955555555557,-94.37560833333332,"29.730956, -94.375608",1940,3,High,100.0,115.078,1.0,1.2,2.428571428571429,0.6741830165217878,Top 20,"This bridge, built in 1940, has a Category 3 wind exposure of 115.1 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.674, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.730956,-94.375608"
201010006506079,'2.4 MI S OF SH 105',30.179247222222223,-94.18613888888888,"30.179247, -94.186139",1953,3,High,100.0,115.078,2.0,1.2,2.057142857142857,0.64910202256539,Top 20,"This bridge, built in 1953, has a Category 3 wind exposure of 115.1 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.649, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.179247,-94.186139"
161960AA0204001,'1.5 MI E OF SH 35',28.382880555555555,-96.88491944444444,"28.382881, -96.884919",1965,4,Very High,115.0,132.3397,1.3333333333333333,1.2,1.7142857142857144,0.6199477627607141,Top 20,"This bridge, built in 1965, has a Category 4 wind exposure of 132.3 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a Very High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.62, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.382881,-96.884919"
130290B00445001,'0.1 MI NE OF SEADRIFT ST',28.60915555555556,-96.63252777777775,"28.609156, -96.632528",1960,4,Very High,115.0,132.3397,1.0,1.2,1.8571428571428568,0.6140547589601438,Top 20,"This bridge, built in 1960, has a Category 4 wind exposure of 132.3 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a Very High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.614, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.609156,-96.632528"
161960044705040,'0.60 MI W OF SH 35',28.321405555555557,-96.945925,"28.321406, -96.945925",1941,4,Very High,115.0,132.3397,1.0,1.2,2.4,0.6023093901333014,Top 20,"This bridge, built in 1941, has a Category 4 wind exposure of 132.3 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a Very High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.602, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.321406,-96.945925"
201240AA0276003,'2.3 MI N OF SH 73',29.875075,-94.15965277777778,"29.875075, -94.159653",1960,3,High,100.0,115.078,1.3333333333333333,1.2,1.8571428571428568,0.5713053314892819,Top 20,"This bridge, built in 1960, has a Category 3 wind exposure of 115.1 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.571, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.875075,-94.159653"
120200252302007,'4.45 MI NE OF FM 523',29.147805555555557,-95.31544722222222,"29.147806, -95.315447",1965,2,Moderate,95.0,109.3241,2.0,1.2,1.7142857142857144,0.5633412808219284,Top 20,"This bridge, built in 1965, has a Category 2 wind exposure of 109.3 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a Moderate damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.563, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.147806,-95.315447"
210310033104005,'QN ISABELLA CAUSEWAY',26.08643888888889,-97.18005,"26.086439, -97.180050",1974,4,Very High,123.0,141.54594,1.3333333333333333,1.2,1.457142857142857,0.5523084789745252,Top 20,"This bridge, built in 1974, has a Category 4 wind exposure of 141.5 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a Very High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.552, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=26.086439,-97.180050"
201240036802027,'2.1 MI SW OF FM 365',29.90011388888889,-94.26906944444444,"29.900114, -94.269069",1937,3,High,100.0,115.078,1.0,1.2,2.5142857142857142,0.5464137680125297,Top 20,"This bridge, built in 1937, has a Category 3 wind exposure of 115.1 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.546, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.900114,-94.269069"
130290051503012,'1.28 MI S OF VICTORIA C/L',28.67560277777778,-96.67747222222222,"28.675603, -96.677472",1960,4,Very High,115.0,132.3397,1.0,1.2,1.8571428571428568,0.541219766092003,Top 20,"This bridge, built in 1960, has a Category 4 wind exposure of 132.3 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a Very High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.541, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.675603,-96.677472"
162050050701003,'0.35 MI NW OF US 77',27.953363888888887,-97.58670555555555,"27.953364, -97.586706",1936,4,Very High,115.0,132.3397,1.0,1.2,2.5428571428571427,0.5320013284261866,Top 20,"This bridge, built in 1936, has a Category 4 wind exposure of 132.3 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a Very High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.532, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.953364,-97.586706"
162050050701001,'1.05 MI NW OF US 77',27.95977222222222,-97.59611944444444,"27.959772, -97.596119",1936,4,Very High,115.0,132.3397,1.0,1.2,2.5428571428571427,0.5320013284261866,Top 20,"This bridge, built in 1936, has a Category 4 wind exposure of 132.3 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a Very High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.532, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.959772,-97.596119"
132350049705007,'0.48 MI E OF SH 185',28.650872222222223,-96.88601944444446,"28.650872, -96.886019",1953,4,Very High,115.0,132.3397,1.0,1.2,2.057142857142857,0.5162651915428298,Top 20,"This bridge, built in 1953, has a Category 4 wind exposure of 132.3 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a Very High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.516, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.650872,-96.886019"
120200017803030,'2.00 MI NE OF FM 523',29.226847222222226,-95.37610277777776,"29.226847, -95.376103",1941,2,Moderate,95.0,109.3241,1.0,1.2,2.4,0.5129547869265982,Top 20,"This bridge, built in 1941, has a Category 2 wind exposure of 109.3 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a Moderate damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.513, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.226847,-95.376103"
201010020009034,'0.30 MI N  OF FM 420',30.460627777777777,-94.3890027777778,"30.460628, -94.389003",1924,2,Moderate,85.0,97.8163,1.0,1.2,2.8857142857142857,0.5035926916995987,Top 20,"This bridge, built in 1924, has a Category 2 wind exposure of 97.8 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a Moderate damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.504, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.460628,-94.389003"
210310063002003,'1.00 MI W OF SH 345',26.235625,-97.584825,"26.235625, -97.584825",1953,3,High,110.0,126.5858,1.3333333333333333,1.2,2.057142857142857,0.4924839505169085,Top 20,"This bridge, built in 1953, has a Category 3 wind exposure of 126.6 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.492, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=26.235625,-97.584825"
120200252302010,'3.30 MI NE OF FM 2917',29.28637777777778,-95.13140277777777,"29.286378, -95.131403",1965,2,Moderate,95.0,109.3241,2.0,1.2,1.7142857142857144,0.4880296044084372,Top 20,"This bridge, built in 1965, has a Category 2 wind exposure of 109.3 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a Moderate damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.488, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.286378,-95.131403"
161960142301006,'2.55 MI E OF FM 629',28.14660555555556,-97.26145277777778,"28.146606, -97.261453",1957,4,Very High,115.0,132.3397,1.0,1.2,1.9428571428571428,0.4875837920126725,Top 50,"The bridge has a high hurricane risk score of 0.4876, driven by its 1957 construction date (V_age = 1.943) and a scour-critical foundation (V_scour = 1.20). It is exposed to Category 4 hurricane winds (115 kt / 132 mph), which increase the risk significantly. The design vulnerability (V_des = 1.000) is moderate, but the combination of age and foundation erosion risk makes it more vulnerable during extreme weather events.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.146606,-97.261453"
162050050703016,'11.7 MI E OF SH 89',28.044441666666668,-97.29145277777778,"28.044442, -97.291453",1959,4,Very High,115.0,132.3397,1.0,1.2,1.8857142857142857,0.4732430922475938,Top 50,"The bridge has a high hurricane risk score of 0.47, driven by its scour-critical foundation and exposure to Category 4 winds (115 kt / 132 mph). Its design vulnerability (V_des = 1.000) is moderate, but the foundation vulnerability (V_scour = 1.20) and age-related vulnerability (V_age = 1.886) significantly increase the risk. These factors combine to place the bridge in the Top 50 tier for hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.044442,-97.291453"
201010081102006,'0.30 MI N  OF FM 770',30.335730555555557,-94.4193527777778,"30.335731, -94.419353",1951,2,Moderate,89.0,102.41942,1.0,1.2,2.1142857142857143,0.4698462835403693,Top 50,"The bridge has a hurricane risk score of 0.4698, driven by its age (built in 1951), which increases vulnerability, and a scour-critical foundation that could be eroded by storm surges. It is exposed to Category 2 winds (89 kt or 102 mph), and its design vulnerability is moderate, but the combination of these factors places it in the top 50 most at-risk bridges.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.335731,-94.419353"
132350094104007,'2.30 MI SW OF FM 236',28.881677777777774,-97.23570277777776,"28.881678, -97.235703",1958,3,High,105.0,120.8319,2.0,1.2,1.914285714285714,0.4654930678801774,Top 50,"This bridge has a high hurricane risk score due to its timber construction, which is less resistant to strong winds, and a foundation that is prone to erosion during storms. The bridge is exposed to Category 3 hurricane winds, which can reach speeds of 121 mph, and its age, built in 1958, means it does not meet modern wind-resistant standards. These factors, along with potential scour issues, contribute to its elevated risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.881678,-97.235703"
131210AA0313002,'1.09 MI W OF FM 234',28.829402777777776,-96.64518055555556,"28.829403, -96.645181",1975,2,Moderate,85.0,97.8163,2.0,1.2,1.4285714285714286,0.4604299892090769,Top 50,"This bridge has a hurricane risk score of 0.46, ranking it among the top 50 in the state. Its risk is driven by a timber construction (high vulnerability), a Category 2 wind exposure (85 kt/98 mph), and a scour-critical foundation. The bridge was built in 1975, which contributes to its moderate age factor. These factors combine to increase the risk of damage during a hurricane.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.829403,-96.645181"
161780010106041,'3.16 M SW OF NUECES CO LN',27.812727777777777,-97.3953388888889,"27.812728, -97.395339",1959,4,Very High,115.0,132.3397,1.3333333333333333,1.2,1.8857142857142857,0.4458022930818149,Top 50,"The bridge has a high hurricane risk score due to several factors. Its design vulnerability (V_des = 1.333) reflects a steel construction that is moderately to highly vulnerable to wind forces. The foundation is rated as scour-critical (V_scour = 1.20), indicating a high risk of erosion during a hurricane surge. Additionally, the bridge was built in 1959 (V_age = 1.886), which contributes to its higher risk because it predates modern wind-resistant design standards. These factors, along with exposure to a Category 4 hurricane wind (115 kt / 132 mph), combine to elevate the bridge’s overall risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.812728,-97.395339"
161780061702028,'4.35 MI E OF SH 358',27.631633333333333,-97.23253611111112,"27.631633, -97.232536",1973,4,Very High,115.0,132.3397,2.0,1.2,1.4857142857142858,0.4455939255692738,Top 50,"This bridge has a high hurricane risk score due to its timber construction, which is inherently less resistant to extreme winds. The structure is rated with a design vulnerability factor of 2.0, indicating a significant risk from high winds. Additionally, the bridge’s foundation is classified as scour-critical, meaning it could be severely damaged by erosion during a hurricane. The risk index of 0.4456 reflects the combined impact of these factors, including exposure to Category 4 winds (115 kt / 132 mph) and the bridge’s age, which contributes to its vulnerability.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.631633,-97.232536"
120200017803024,'1.20 MI SW OF FM 2917',29.327080555555558,-95.28989166666666,"29.327081, -95.289892",1937,2,Moderate,95.0,109.3241,1.0,1.2,2.5142857142857142,0.4407312206210274,Top 50,"This bridge has a hurricane risk score of 0.44, ranking it #28 among bridges in the area. The primary factors contributing to its elevated risk are its age (built in 1937), which increases vulnerability due to outdated design standards, and its scour-critical foundation, which could be severely eroded by hurricane surge. The bridge is exposed to Category 2 winds (95 kt/109 mph), further increasing the risk of moderate damage during a hurricane.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.327081,-95.289892"
132350B00140002,'0.69 MI NE OF LP 463',28.8654,-97.01678888888888,"28.865400, -97.016789",1964,3,High,105.0,120.8319,1.3333333333333333,1.2,1.7428571428571429,0.4401962516318245,Top 50,"This bridge has a high hurricane risk score due to its steel construction, which is moderately to highly vulnerable, and a scour-critical foundation that could be severely eroded by hurricane surge. It is exposed to Category 3 winds, which can reach 105 knots (121 mph), and was built in 1964, contributing to its age-related vulnerability. These factors combine to increase its risk level, placing it among the top 50 most at-risk bridges in the region.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.865400,-97.016789"
201810049903016,'1.90 MI NE OF FM 1132',30.164041666666662,-93.95076388888889,"30.164042, -93.950764",1948,3,High,100.0,115.078,1.0,1.2,2.2,0.4167431726514404,Top 50,"The bridge has a high hurricane risk score of 0.4167, driven by its age (built in 1948), which increases vulnerability, and a scour-critical foundation that could be eroded by hurricane surge. It is exposed to Category 3 winds (100 kt / 115 mph), and its design vulnerability is moderate, while its scour vulnerability is high, contributing to its elevated risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.164042,-93.950764"
200360050803116,'2.2 MI E OF FM 1410',29.827766666666665,-94.44604166666667,"29.827767, -94.446042",1958,3,High,100.0,115.078,1.0,1.2,1.914285714285714,0.4160195733731759,Top 50,"The bridge has a hurricane risk score of 0.416, ranking it #31 among bridges in the area. Its risk is driven by a scour-critical foundation, which is vulnerable to erosion during a hurricane surge, and its exposure to Category 3 winds (100 kt / 115 mph). The bridge was built in 1958, which contributes to its higher risk due to older design standards.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.827767,-94.446042"
132350251601002,'9.45 MI S  OF US 59',28.79460555555556,-96.77236666666668,"28.794606, -96.772367",1962,3,High,105.0,120.8319,1.0,1.2,1.8,0.4138064943270878,Top 50,"This bridge has a hurricane risk score of 0.4138, ranking it #32. The primary factors contributing to its high risk are its 1962 construction date, which increases vulnerability due to older design standards, and its scour-critical foundation, which is at high risk of erosion during a hurricane surge. The bridge is exposed to Category 3 wind conditions (105 kt / 121 mph), further increasing the likelihood of damage.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.794606,-96.772367"
160130010107002,'1.5 MI S OF FM 351',28.364261111111112,-97.7294,"28.364261, -97.729400",1929,3,High,105.0,120.8319,1.0,1.2,2.742857142857143,0.4050664443800178,Top 50,"This bridge has a high hurricane risk score due to its age, foundation vulnerability, and exposure to strong winds. The design vulnerability (V_des) is 1.000, indicating it is designed for concrete construction, which is less vulnerable. However, the scour vulnerability (V_scour) is 1.20, meaning its foundation is at risk of erosion during a hurricane surge. The bridge was built in 1929, leading to a high age vulnerability (V_age) of 2.743, which significantly contributes to its elevated risk. The combination of these factors results in a risk index of 0.4051, placing it in the top 50 most at-risk bridges.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.364261,-97.729400"
162050008704016,'2.1 MI NE OF IH 37',28.13265,-97.79204444444444,"28.132650, -97.792044",1931,3,High,105.0,120.8319,1.0,1.2,2.685714285714286,0.3966275601221008,Top 50,"The bridge has a high hurricane risk score due to its age, foundation vulnerability, and exposure to strong winds. Its design vulnerability (V_des) is 1.000, indicating it is designed for standard conditions, but its age vulnerability (V_age) is 2.686, reflecting its 1931 construction date, which makes it less resilient to modern hurricane forces. The bridge is also classified as scour-critical (V_scour = 1.20), meaning its foundation could be severely eroded by storm surges. These factors contribute to its risk score of 0.3966, placing it in the top 50 most at-risk bridges.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.132650,-97.792044"
120850K01236228,'0.35 Mi NW of FM 519',29.362269444444447,-94.95393888888889,"29.362269, -94.953939",1920,2,Moderate,95.0,109.3241,1.0,1.2,3.0,0.3919951992847075,Top 50,"The bridge has a hurricane risk score of 0.392, driven by its age (built in 1920), which contributes a vulnerability factor of 3.000, and a scour-critical foundation with a vulnerability factor of 1.20. It is exposed to Category 2 winds (95 kt/109 mph), which increase its risk. The design vulnerability is moderate, but the combination of old construction and potential erosion from storm surges makes it more susceptible to hurricane damage.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.362269,-94.953939"
121020005102007,'0.85 MI SE OF FM 1959',29.591152777777776,-95.16809166666668,"29.591153, -95.168092",1925,2,Moderate,95.0,109.3241,1.0,1.2,2.857142857142857,0.3829958197113807,Top 50,"The bridge has a hurricane risk score of 0.383, driven by its age (built in 1925), which contributes a vulnerability factor of 2.857, and a scour-critical foundation with a vulnerability factor of 1.20. It is exposed to Category 2 winds (95 kt/109 mph) and has a design vulnerability factor of 1.000, indicating it was not designed for modern hurricane standards. These factors combine to place it in the Top 50 tier for hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.591153,-95.168092"
201010006514022,'0.20 MI E  OF FM 92',30.35024166666667,-94.17421111111112,"30.350242, -94.174211",1925,2,Moderate,89.0,102.41942,1.0,1.2,2.857142857142857,0.3829958197113807,Top 50,"The bridge has a high hurricane risk score of 0.383, driven by its age (built in 1925), which increases vulnerability due to outdated design standards. Its foundation is classified as scour-critical, meaning it could be severely damaged by erosion from hurricane surges. The bridge is exposed to Category 2 winds, which are strong enough to cause moderate damage during a hurricane. These factors combine to elevate its risk level.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.350242,-94.174211"
121020005102009,'0.80 MI NW OF NASA RD 1',29.546758333333337,-95.12655,"29.546758, -95.126550",1925,2,Moderate,95.0,109.3241,1.0,1.2,2.857142857142857,0.3829958197113807,Top 50,"This bridge has a hurricane risk score of 0.383, ranking it #38. The primary factors contributing to its elevated risk are its age (built in 1925), which increases vulnerability due to outdated design standards, and its scour-critical foundation, which is at high risk of erosion during a hurricane surge. The bridge is exposed to Category 2 winds (95 kt/109 mph), further increasing its risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.546758,-95.126550"
121020011101002,'3.0 MI S OF IH 610',29.634061111111112,-95.41144722222222,"29.634061, -95.411447",1925,2,Moderate,95.0,109.3241,1.0,1.2,2.857142857142857,0.3829958197113807,Top 50,"The bridge has a hurricane risk score of 0.383, driven by its age (built in 1925), which contributes a vulnerability factor of 2.857, and a scour-critical foundation with a vulnerability factor of 1.20. It is exposed to Category 2 winds (95 kt/109 mph) and has a design vulnerability factor of 1.000, indicating it was built to modern standards. These factors combine to place it in the Top 50 tier for hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.634061,-95.411447"
210310033102006,'0.85 MI E OF SH 48',26.073344444444444,-97.21437222222222,"26.073344, -97.214372",1997,4,Very High,123.0,141.54594,2.0,1.2,1.0,0.3804549732442528,Top 50,"This bridge has a high hurricane risk score of 0.38, driven by its timber construction (V_des = 2.000), which is the most vulnerable design type. It is exposed to Category 4 hurricane winds (123 kt / 142 mph) and has a scour-critical foundation (V_scour = 1.20), meaning its supports could be severely eroded by storm surges. These factors combine to place it among the top 50 most at-risk bridges in the state.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=26.073344,-97.214372"
120200252302342,'0.75 MI NE OF CR 208',29.16878055555556,-95.26596944444444,"29.168781, -95.265969",1963,2,Moderate,95.0,109.3241,1.0,1.2,1.7714285714285714,0.3786094855886796,Top 50,"The bridge has a hurricane risk score of 0.3786, ranking it #41. Its design vulnerability is 1.000, indicating it is not at risk from wind forces due to its concrete construction. However, its risk is significantly increased by a scour-critical foundation (V_scour = 1.20), which is highly susceptible to erosion during a hurricane surge. The bridge was built in 1963, contributing to a higher age vulnerability (V_age = 1.771). These factors, particularly the foundation’s erosion risk and the moderate wind exposure, are the primary drivers of its elevated risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.168781,-95.265969"
210240025505027,'7.4 MI S OF FM 755',26.786847222222224,-98.10687222222222,"26.786847, -98.106872",1941,3,High,100.0,115.078,1.0,1.2,2.4,0.3772263297094853,Top 50,"This bridge has a high hurricane risk score due to its age, foundation vulnerability, and exposure to strong winds. The design vulnerability (V_des) is 1.000, indicating it is structurally sound for its construction type. However, the scour vulnerability (V_scour) is 1.20, meaning its foundation is at risk of erosion during a hurricane surge. The age vulnerability (V_age) is 2.400, reflecting that it was built in 1941, predating modern wind-resistant design standards. These factors combine to result in a risk index of 0.3772, placing it in the top 50 most at-risk bridges for hurricanes.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=26.786847,-98.106872"
210310087202003,'4.0 MI SW OF BUS 77',26.30993611111111,-97.82406666666668,"26.309936, -97.824067",1956,3,High,100.0,115.078,1.0,1.2,1.9714285714285715,0.3760270165917893,Top 50,"The bridge has a hurricane risk score of 0.376, ranking it #43. Its risk is driven by a scour-critical foundation, which is vulnerable to erosion during a hurricane surge, and its exposure to Category 3 winds (100 kt / 115 mph). The design vulnerability (V_des) is 1.000, indicating it is designed for standard conditions, while the age factor (V_age) is 1.971, reflecting its 1956 construction date and lack of modern wind-resistant design.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=26.309936,-97.824067"
121020B43449507,'0.3 MI E OF POST OAK RD',29.668436111111117,-95.4571777777778,"29.668436, -95.457178",1958,2,Moderate,91.0,104.72098,2.0,1.2,1.914285714285714,0.370721956302345,Top 50,"This bridge has a high hurricane risk score due to its timber construction, which is less resistant to wind, and a scour-critical foundation that could be eroded by hurricane surge. The bridge is exposed to Category 2 winds, which are strong enough to cause moderate damage. The risk index of 0.37 is influenced by these factors, indicating a significant vulnerability to hurricane impacts.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.668436,-95.457178"
121020B20937001,'0.40 MI N OF IH 10',29.78123611111111,-95.41084722222224,"29.781236, -95.410847",1963,2,Moderate,91.0,104.72098,2.0,1.2,1.7714285714285714,0.3670304437177089,Top 50,"This bridge has a hurricane risk score of 0.367, ranking it among the top 50 in the state. Its risk is driven by a timber construction (high vulnerability), a Category 2 wind exposure with winds up to 105 mph, and a scour-critical foundation that could be eroded by hurricane surge. These factors combine to increase the likelihood of damage during a severe storm.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.781236,-95.410847"
120850036702023,'3.50 MI N OF SH 87',29.594177777777777,-94.38907222222224,"29.594178, -94.389072",1978,3,High,100.0,115.078,1.3333333333333333,1.2,1.342857142857143,0.3651279683628914,Top 50,"This bridge has a high hurricane risk score of 0.365, driven by its steel construction (V_des = 1.333), a scour-critical foundation (V_scour = 1.20), and its age (V_age = 1.343). It is exposed to Category 3 hurricane winds (100 kt / 115 mph), which increase the risk of damage due to strong winds and potential foundation erosion.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.594178,-94.389072"
130620AA0363001,'1.30 MI SW OF FM 3010',29.19688333333333,-97.1558277777778,"29.196883, -97.155828",1930,2,Moderate,85.0,97.8163,1.0,1.2,2.7142857142857144,0.3638460287258117,Top 50,"The bridge has a hurricane risk score of 0.3638, driven by its age (built in 1930), which contributes a high vulnerability factor (V_age = 2.714). It is exposed to Category 2 wind conditions (85 kt/98 mph) and has a scour-critical foundation, increasing its vulnerability to erosion. These factors combine to elevate its risk level among the top 50 bridges in the region.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.196883,-97.155828"
